"speaker","text","neg","neu","pos","compound","firstmatch","starttime","lastmatch","endtime","simple","matched","ratio"
"HOLT","Good evening I'm Lester Holt and welcome to night two of the first Democratic debate in the 2020 race of president.",0.0,0.763,0.237,0.7096,0,80.93,18,87.2,"good evening i'm lester holt and welcome to night two of the first democratic debate in the 2020 race of president","good evening i'm lester holt unwelcome tonight two of the first democratic debate in the 2020 race for president",0.9646017699115044
"GUTHRIE","Good evening I'm Savannah Guthrie. Last night we heard from ten candidates and now 10 more take the stage.",0.0,0.861,0.139,0.4404,19,87.2,36,92.44,"good evening i'm savannah guthrie last night we heard from ten candidates and now 10 more take the stage","evening i'm savannah guthrie last night we heard from 10 candidates and now 10 more take the stage",0.9504950495049505
"HOLT","And again tonight we'll be joined in the questioning by our colleagues Jose Diaz-Balart Chuck Todd and Rachel Maddow.",0.072,0.928,0.0,-0.1027,37,92.59,55,98.39,"and again tonight we'll be joined in the questioning by our colleagues jose diaz-balart chuck todd and rachel maddow","again tonight we'll be joined to the questioning by our colleagues jose diaz balart chuck todd and rachel maddow",0.956140350877193
"GUTHRIE","The candidates are in position so let's get started.",0.0,1.0,0.0,0.0,56,98.45,64,101.25,"the candidates are in position so let's get started","the candidates are in position so let's get started",1.0
"ANNOUNCER","Tonight round two Colorado Senator Michael Bennet. Former Vice President Joe Biden. South Bend Indiana Mayor Pete Buttigieg. New York Senator Kirsten Gillibrand. California Senator Kamala Harris. Former Colorado Governor John Hickenlooper. Vermont Senator Bernie Sanders. California Congressman Eric Swalwell. Author Marianne Williamson. And former tech executive Andrew Yang.",0.0,1.0,0.0,0.0,65,101.94,111,128.353,"tonight round two colorado senator michael bennet former vice president joe biden south bend indiana mayor pete buttigieg new york senator kirsten gillibrand california senator kamala harris former colorado governor john hickenlooper vermont senator bernie sanders california congressman eric swalwell author marianne williamson and former tech executive andrew yang","tonight ground to colorado senator michael bennet former vice president joe biden south bend indiana mayor pootie judge new york senator kirsten gillibrand california senator kamala harris former colorado governor john hickenlooper vermont senator bernie sanders california congressman eric swalwell author marianne williamson former tech executive andrew",0.9680998613037448
"ANNOUNCER","From NBC News ""Decision 2020"" the Democratic candidates debate live from the Adrienne Arsht Performing Arts Center in Miami Florida.",0.0,1.0,0.0,0.0,112,129.283,129,139.993,"from nbc news decision 2020 the democratic candidates debate live from the adrienne arsht performing arts center in miami florida","from decision 2020 for democratic candidates debate live from the adrienne arsht performing arts center in miami florida",0.9397590361445783
"HOLT","And good evening. Once again welcome to the candidates and our spirited audience here tonight in the Arsht Center and across America tonight. We continue the spirited debate about the future of the country how to tackle our most pressing problems and getting to the heart of the biggest issues in this Democratic primary.",0.048,0.784,0.168,0.7595,142,166.093,199,184.103,"and good evening once again welcome to the candidates and our spirited audience here tonight in the arsht center and across america tonight we continue the spirited debate about the future of the country how to tackle our most pressing problems and getting to the heart of the biggest issues in this democratic primary","to tackle our most pressing problems and getting to the heart of the biggest issues in this democratic primary tonight we're gonna talk about health care immigration we're also gonna dive into the economy jobs climate changes well as a quick rules of the road before we begin and they may sound familiar 20 candidates qualified for this",0.44648318042813456
"GUTHRIE","Tonight we're going to talk about health care immigration. We're also going to dive into the economy jobs climate change as well.",0.0,0.791,0.209,0.6486,"","","","","tonight we're going to talk about health care immigration we're also going to dive into the economy jobs climate change as well","",0.0
"DIAZ-BALART","As the quick rules of the road before we begin  and they may sound familiar  20 candidates qualified for this first debate. As we said we heard from 10 last night and we'll hear from 10 more tonight. The breakdown for each night was selected at random. The candidates will have 60 seconds to answer 30 seconds for any follow-ups.",0.0,1.0,0.0,0.0,202,185.283,245,200.193,"as the quick rules of the road before we begin and they may sound familiar 20 candidates qualified for this first debate as we said we heard from 10 last night and we'll hear from 10 more tonight the breakdown for each night was selected at random the candidates will have 60 seconds to answer 30 seconds for any follow-ups","we from town last night and we'll hear from 10 more tonight breakdown for each night was selected at random the candidates love 60 seconds to answer 30 seconds for any because of the large field of candidates not every person is going to",0.6107142857142858
"HOLT","And because of the large field of candidates not every person is going to be able to weigh in on every topic but over the course of the next two hours we will hear from everyone.",0.0,1.0,0.0,0.0,257,203.113,272,207.723,"and because of the large field of candidates not every person is going to be able to weigh in on every topic but over the course of the next two hours we will hear from everyone","of the next two hours we will hear from everyone and we love our audience but",0.3779527559055118
"GUTHRIE","And we love our audience but we'd like to ask them to keep their reactions to a minimum. And we're not going to hold back making sure the candidates stick to time.",0.0,0.761,0.239,0.8316,285,210.703,294,213.533,"and we love our audience but we'd like to ask them to keep their reactions to a minimum and we're not going to hold back making sure the candidates stick to time","and we're not gonna hold back making sure the candidates",0.4976958525345622
"GUTHRIE","So with that business taken care of let's get to it. And we're going to start today with Senator Sanders. Good evening to you.",0.0,0.783,0.217,0.7269,295,214.433,319,222.013,"so with that business taken care of let's get to it and we're going to start today with senator sanders good evening to you","so with that business take care taking care of let's get to it and we're gonna start today with senator sanders good evening to you",0.9291338582677166
"GUTHRIE","You've called for big new government benefits like universal health care and free college. In a recent interview you said you suspected that Americans would be quote ""delighted"" to pay more taxes for things like that. My question to you is will taxes go up for the middle class in a Sanders administration? And if so how do you sell that to voters?",0.046,0.753,0.202,0.9034,320,222.393,382,243.739,"you've called for big new government benefits like universal health care and free college in a recent interview you said you suspected that americans would be quote delighted to pay more taxes for things like that my question to you is will taxes go up for the middle class in a sanders administration and if so how do you sell that to voters","you've called for big new government benefits like universal health care and free college in a recent interview you said you suspected that americans would be quote delighted to pay more taxes for things like that my question to you is will taxes go up for the middle class in the sanders administration and if so how do you sell that to voters",0.9941690962099126
"SANDERS","Well you're quite right. We have a new vision for America. And at a time when we have three people in this country owning more wealth than the bottom half of America while 500000 people are sleeping out on the streets today we think it is time for change real change.",0.0,0.858,0.142,0.7645,383,244.639,431,263.079,"well you're quite right we have a new vision for america and at a time when we have three people in this country owning more wealth than the bottom half of america while 500000 people are sleeping out on the streets today we think it is time for change real change","you're quite right we have a new vision for america and at a time when we have three people in this country owning more wealth in the bottom half of america 500,000 people are sleeping out on the streets today we think it is time for change real change",0.9689922480620154
"SANDERS","And by that I mean that health care in my view is a human right. And we have got to pass a Medicare for all single-payer system.",0.0,0.878,0.122,0.4939,432,263.639,458,274.119,"and by that i mean that health care in my view is a human right and we have got to pass a medicare for all single-payer system","and by that i mean that healthcare in my view is a human right and we have got a pass a medicare for all single payer system",0.976
"SANDERS","Under that system by the way vast majority of the people in this country will be paying significantly less for health care than they are right now.",0.0,0.899,0.101,0.4472,459,274.729,485,285.249,"under that system by the way vast majority of the people in this country will be paying significantly less for health care than they are right now","under that system by the way that's majority off the people in this country will be paying significantly less for health care than they are right now",0.976271186440678
"SANDERS","I believe that education is the future for this country. And that is why I believe that we must make public colleges and universities tuition-free and eliminate student debt. And we do that by placing a tax on Wall Street.",0.065,0.935,0.0,-0.3612,486,285.899,526,302.689,"i believe that education is the future for this country and that is why i believe that we must make public colleges and universities tuition-free and eliminate student debt and we do that by placing a tax on wall street","i believe that education is the future for this country and that is why i believe that we must make public colleges and universities tuition free and eliminate student debt and we do that by placing a tax on wall street",0.9954337899543378
"SANDERS","Every proposal that I have brought forth is fully paid for.",0.0,1.0,0.0,0.0,527,302.699,537,309.129,"every proposal that i have brought forth is fully paid for","every proposal that i have brought forth is fully paid for",1.0
"GUTHRIE","Senator Sanders I'll give you 10 seconds just to ask the  answer the very direct question. Will you raise taxes for the middle class in a Sanders administration?",0.0,1.0,0.0,0.0,538,309.139,562,317.949,"senator sanders i'll give you 10 seconds just to ask the answer the very direct question will you raise taxes for the middle class in a sanders administration","senator sanders like give you 10 seconds that answer that very direct question will you raise taxes for the middle class in the sanders administration",0.9155844155844156
